county,state_id,lat,lng
Los Angeles,CA,34.3219,-118.2247
Cook,IL,41.8401,-87.8168
Harris,TX,29.8578,-95.3938
Maricopa,AZ,33.349,-112.4915
San Diego,CA,33.0343,-116.735
Orange,CA,33.7031,-117.7609
Miami-Dade,FL,25.615,-80.5624
Kings,NY,40.6413,-73.9383
Dallas,TX,32.7666,-96.7778
Riverside,CA,33.7437,-115.9938
Clark,NV,36.2152,-115.0135
Queens,NY,40.7035,-73.8196
King,WA,47.4903,-121.8052
San Bernardino,CA,34.8414,-116.1785
Tarrant,TX,32.7719,-97.2911
Bexar,TX,29.4489,-98.52
Broward,FL,26.1523,-80.4871
Santa Clara,CA,37.2318,-121.6951
Wayne,MI,42.2822,-83.283
Alameda,CA,37.6469,-121.8887
Middlesex,MA,42.4856,-71.3918
New York,NY,40.7792,-73.9668
Sacramento,CA,38.4493,-121.3443
Philadelphia,PA,40.0076,-75.134
Palm Beach,FL,26.6476,-80.4655
Suffolk,NY,40.8681,-72.8456
Hillsborough,FL,27.9292,-82.3088
Orange,FL,28.5144,-81.3235
Bronx,NY,40.8501,-73.8671
Nassau,NY,40.7326,-73.5862
Franklin,OH,39.9695,-83.0093
Travis,TX,30.3344,-97.782
Oakland,MI,42.6604,-83.3858
Hennepin,MN,45.0046,-93.477
Cuyahoga,OH,41.4243,-81.6586
Allegheny,PA,40.4688,-79.9812
Salt Lake,UT,40.6673,-111.9236
Wake,NC,35.7903,-78.6503
Contra Costa,CA,37.9192,-121.9275
Collin,TX,33.188,-96.5724
Mecklenburg,NC,35.2467,-80.8328
Fairfax,VA,38.8368,-77.277
Fulton,GA,33.7903,-84.4671
Montgomery,MD,39.1363,-77.2042
Pima,AZ,32.0974,-111.7899
Duval,FL,30.3313,-81.6715
Fresno,CA,36.7582,-119.6493
Honolulu,HI,21.4899,-158.0739
Westchester,NY,41.1626,-73.7561
St. Louis,MO,38.6407,-90.4434
Gwinnett,GA,33.9619,-84.0235
Denton,TX,33.2055,-97.1168
Capitol,CT,41.8185,-72.572
Marion,IN,39.7817,-86.1385
Pinellas,FL,27.9198,-82.7255
Bergen,NJ,40.9597,-74.0742
Prince George's,MD,38.8295,-76.8473
Erie,NY,42.7639,-78.7323
Pierce,WA,47.0239,-122.1041
DuPage,IL,41.852,-88.0856
Milwaukee,WI,43.0072,-87.9669
Shelby,TN,35.1843,-89.8938
Kern,CA,35.3426,-118.7301
Fort Bend,TX,29.5275,-95.7709
Hidalgo,TX,26.3969,-98.1812
Macomb,MI,42.6957,-82.9323
Middlesex,NJ,40.4392,-74.4117
El Paso,TX,31.7686,-106.2348
Worcester,MA,42.3514,-71.9077
Montgomery,PA,40.2108,-75.3673
Essex,NJ,40.788,-74.2481
Baltimore,MD,39.4629,-76.6395
Snohomish,WA,48.0474,-121.6972
Ventura,CA,34.4561,-119.0836
Hamilton,OH,39.1955,-84.5428
San Francisco,CA,37.7556,-122.445
Lee,FL,26.578,-81.8332
Essex,MA,42.6732,-70.9524
Oklahoma,OK,35.5515,-97.4072
Multnomah,OR,45.5468,-122.4149
San Joaquin,CA,37.9348,-121.2714
